Full Name,Job Title,Company,LinkedIn Profile
John Chomeau,President/COO - Medicare Division,Aetna,https://www.linkedin.com/in/chomeau/
John Davidson,Executive Director Of Operations,Aetna,https://www.linkedin.com/in/john-davidson-07723812/
Katerina Guerraz,"Executive Vice President, Chief Operating Officer, Aetna",Aetna,https://www.linkedin.com/in/katerinaguerraz/
Kelly Pullen,"Chief Operating Officer, Aetna Better Health of Pennsylvania",Aetna,https://www.linkedin.com/in/kelly-pullen-245b171b1/
Kiran Jiwani,Chief Operating Officer,Aetna,https://www.linkedin.com/in/kiran-jiwani-3b6a4740/
Tricia Taylor-Lyphout,Chief Operations Officer,Aetna,https://www.linkedin.com/in/tricia-taylor-lyphout-mph-mba-4115737/
Jonathan Murugan,Director of Operations,Capita,https://www.linkedin.com/in/jonathan-murugan-78290365/
Zakriya S,Chief Operating Officer,Capita,https://www.linkedin.com/in/zakriya-s-7061b3b/
Antonio Manieli,Head of Operations,Capita,https://www.linkedin.com/in/antonio-manieli-b8a36b80/
Patrick Nickolls,Head of Operations,Capita,https://www.linkedin.com/in/patrick-nickolls-5163632a/
Paul Young,Head Of Operations,Capita,https://www.linkedin.com/in/paulyoung1/
Sarah Faulkner,Head of Operations - Learning,Capita,https://www.linkedin.com/in/sbaker4/
Brian Setzer,Chief Operating Officer,Cigna,https://www.linkedin.com/in/brian-setzer-55bba19/
Jennifer Collier,Chief Operating Officer - Middle Market,Cigna,https://www.linkedin.com/in/jennifer-collier-7447446/
Kyle Harris,Director of Operations,Cigna,https://www.linkedin.com/in/kyleharris24/
Neel Chopdekar,"SVP and Chief Operating Officer, Technology & Operations",Cigna,https://www.linkedin.com/in/neelchopdekar/
Somesh Chandra,"COO, International Health, Cigna Healthcare",Cigna,https://www.linkedin.com/in/somesh-chandra-97228b3/
Ayub Shah K.,Head of Operations,Cigna,https://www.linkedin.com/in/ayub-shah-k-b83a0748/
Denzel Brock,Clinical Operations Director,Elevance,https://www.linkedin.com/in/denzelbrock/
Ed Skelton,Senior Medicaid Operations Director,Elevance,https://www.linkedin.com/in/ed-skelton-3875098/
Kevin Manion,Staff Vice President & Chief of Staff to the COO,Elevance,https://www.linkedin.com/in/kevin-manion-4421a061/
Kris Cobb Upton,Marketing Operations Director,Elevance,https://www.linkedin.com/in/thekrisupton/
Vikrant Urs,Director of Operations,Elevance,https://www.linkedin.com/in/vikranturs/
William Feest,CFO/COO - Carelon,Elevance,https://www.linkedin.com/in/william-feest-3aa9385/
