user_id,display,team,manager,available_from
user01@sample.invalid,Pilot user 01,Sample team A,Sample manager A,2026-07-13
user02@sample.invalid,Pilot user 02,Sample team A,Sample manager A,2026-07-13
user03@sample.invalid,Pilot user 03,Sample team A,Sample manager A,2026-07-13
user04@sample.invalid,Pilot user 04,Sample team A,Sample manager A,2026-07-13
user05@sample.invalid,Pilot user 05,Sample team A,Sample manager A,2026-07-13
user06@sample.invalid,Pilot user 06,Sample team A,Sample manager A,2026-07-13
user07@sample.invalid,Pilot user 07,Sample team A,Sample manager A,2026-07-13
user08@sample.invalid,Pilot user 08,Sample team A,Sample manager A,2026-07-13
user09@sample.invalid,Pilot user 09,Sample team A,Sample manager A,2026-07-13
user10@sample.invalid,Pilot user 10,Sample team A,Sample manager A,2026-07-13
user11@sample.invalid,Pilot user 11,Sample team B,Sample manager B,2026-07-13
user12@sample.invalid,Pilot user 12,Sample team B,Sample manager B,2026-07-13
user13@sample.invalid,Pilot user 13,Sample team B,Sample manager B,2026-07-13
user14@sample.invalid,Pilot user 14,Sample team B,Sample manager B,2026-07-13
user15@sample.invalid,Pilot user 15,Sample team B,Sample manager B,2026-07-13
user16@sample.invalid,Pilot user 16,Sample team B,Sample manager B,2026-07-13
user17@sample.invalid,Pilot user 17,Sample team B,Sample manager B,2026-07-13
user18@sample.invalid,Pilot user 18,Sample team B,Sample manager B,2026-07-13
user19@sample.invalid,Pilot user 19,Sample team B,Sample manager B,2026-07-13
user20@sample.invalid,Pilot user 20,Sample team B,Sample manager B,2026-07-13
user21@sample.invalid,Pilot user 21,Sample team C,Sample manager C,2026-07-13
user22@sample.invalid,Pilot user 22,Sample team C,Sample manager C,2026-07-13
user23@sample.invalid,Pilot user 23,Sample team C,Sample manager C,2026-07-13
user24@sample.invalid,Pilot user 24,Sample team C,Sample manager C,2026-07-13
user25@sample.invalid,Pilot user 25,Sample team C,Sample manager C,2026-07-13
user26@sample.invalid,Pilot user 26,Sample team C,Sample manager C,2026-07-13
user27@sample.invalid,Pilot user 27,Sample team C,Sample manager C,2026-07-13
user28@sample.invalid,Pilot user 28,Sample team C,Sample manager C,2026-07-13
user29@sample.invalid,Pilot user 29,Sample team C,Sample manager C,2026-07-13
user30@sample.invalid,Pilot user 30,Sample team C,Sample manager C,2026-07-13
user31@sample.invalid,Pilot user 31,Sample team D,Sample manager D,2026-07-13
user32@sample.invalid,Pilot user 32,Sample team D,Sample manager D,2026-07-13
user33@sample.invalid,Pilot user 33,Sample team D,Sample manager D,2026-07-13
user34@sample.invalid,Pilot user 34,Sample team D,Sample manager D,2026-07-13
user35@sample.invalid,Pilot user 35,Sample team D,Sample manager D,2026-07-13
user36@sample.invalid,Pilot user 36,Sample team D,Sample manager D,2026-07-13
user37@sample.invalid,Pilot user 37,Sample team D,Sample manager D,2026-07-13
user38@sample.invalid,Pilot user 38,Sample team D,Sample manager D,2026-07-13
user39@sample.invalid,Pilot user 39,Sample team D,Sample manager D,2026-07-13
user40@sample.invalid,Pilot user 40,Sample team D,Sample manager D,2026-07-13
