user_id,date,agent,uses
user01@sample.invalid,2026-07-13,Roleplay coach,2
user01@sample.invalid,2026-07-14,Knowledge assistant,2
user01@sample.invalid,2026-07-16,Data explainer,2
user01@sample.invalid,2026-07-17,Roleplay coach,1
user01@sample.invalid,2026-07-20,Meeting summarizer,1
user01@sample.invalid,2026-07-21,Drafting assistant,2
user01@sample.invalid,2026-07-23,Knowledge assistant,2
user01@sample.invalid,2026-07-24,Roleplay coach,1
user01@sample.invalid,2026-07-27,Meeting summarizer,1
user01@sample.invalid,2026-07-28,Roleplay coach,1
user01@sample.invalid,2026-07-29,Knowledge assistant,1
user01@sample.invalid,2026-07-30,Roleplay coach,2
user01@sample.invalid,2026-07-31,Knowledge assistant,1
user01@sample.invalid,2026-08-03,Meeting summarizer,1
user01@sample.invalid,2026-08-04,Data explainer,1
user01@sample.invalid,2026-08-05,Drafting assistant,1
user01@sample.invalid,2026-08-06,Knowledge assistant,1
user01@sample.invalid,2026-08-07,Meeting summarizer,1
user01@sample.invalid,2026-08-10,Data explainer,1
user01@sample.invalid,2026-08-11,Drafting assistant,1
user01@sample.invalid,2026-08-12,Meeting summarizer,1
user01@sample.invalid,2026-08-13,Drafting assistant,1
user01@sample.invalid,2026-08-14,Roleplay coach,2
user01@sample.invalid,2026-08-17,Drafting assistant,1
user01@sample.invalid,2026-08-18,Data explainer,1
user01@sample.invalid,2026-08-19,Meeting summarizer,1
user01@sample.invalid,2026-08-20,Drafting assistant,1
user01@sample.invalid,2026-08-21,Drafting assistant,1
user01@sample.invalid,2026-08-24,Drafting assistant,1
user01@sample.invalid,2026-08-25,Drafting assistant,1
user01@sample.invalid,2026-08-26,Drafting assistant,1
user01@sample.invalid,2026-08-27,Knowledge assistant,1
user01@sample.invalid,2026-08-28,Data explainer,1
user01@sample.invalid,2026-08-31,Data explainer,1
user01@sample.invalid,2026-09-01,Meeting summarizer,1
user01@sample.invalid,2026-09-02,Data explainer,1
user01@sample.invalid,2026-09-03,Roleplay coach,1
user01@sample.invalid,2026-09-04,Meeting summarizer,2
user02@sample.invalid,2026-07-15,Knowledge assistant,2
user02@sample.invalid,2026-07-16,Data explainer,1
user02@sample.invalid,2026-07-20,Meeting summarizer,2
user02@sample.invalid,2026-07-21,CRM assistant,1
user02@sample.invalid,2026-07-22,Roleplay coach,1
user02@sample.invalid,2026-07-23,Roleplay coach,1
user02@sample.invalid,2026-07-24,CRM assistant,1
user02@sample.invalid,2026-07-27,Meeting summarizer,1
user02@sample.invalid,2026-07-28,CRM assistant,1
user02@sample.invalid,2026-07-29,Knowledge assistant,1
user02@sample.invalid,2026-07-30,Roleplay coach,1
user02@sample.invalid,2026-07-31,Roleplay coach,1
user02@sample.invalid,2026-08-03,Knowledge assistant,1
user02@sample.invalid,2026-08-04,Knowledge assistant,1
user02@sample.invalid,2026-08-05,CRM assistant,2
user02@sample.invalid,2026-08-06,Data explainer,1
user02@sample.invalid,2026-08-07,Meeting summarizer,1
user02@sample.invalid,2026-08-10,Meeting summarizer,1
user02@sample.invalid,2026-08-11,Meeting summarizer,1
user02@sample.invalid,2026-08-12,Data explainer,1
user02@sample.invalid,2026-08-13,Data explainer,1
user02@sample.invalid,2026-08-14,Roleplay coach,1
user02@sample.invalid,2026-08-17,Data explainer,1
user02@sample.invalid,2026-08-18,Roleplay coach,1
user02@sample.invalid,2026-08-19,Data explainer,1
user02@sample.invalid,2026-08-20,Data explainer,2
user02@sample.invalid,2026-08-21,Knowledge assistant,2
user02@sample.invalid,2026-08-24,CRM assistant,1
user02@sample.invalid,2026-08-25,Data explainer,1
user02@sample.invalid,2026-08-26,Roleplay coach,1
user02@sample.invalid,2026-08-27,Roleplay coach,1
user02@sample.invalid,2026-08-28,Roleplay coach,1
user02@sample.invalid,2026-08-31,CRM assistant,2
user02@sample.invalid,2026-09-01,Knowledge assistant,1
user02@sample.invalid,2026-09-02,Meeting summarizer,2
user02@sample.invalid,2026-09-03,Knowledge assistant,2
user02@sample.invalid,2026-09-04,Knowledge assistant,1
user03@sample.invalid,2026-07-15,Data explainer,1
user03@sample.invalid,2026-07-16,Knowledge assistant,1
user03@sample.invalid,2026-07-17,Knowledge assistant,2
user03@sample.invalid,2026-07-20,Meeting summarizer,2
user03@sample.invalid,2026-07-21,Drafting assistant,1
user03@sample.invalid,2026-07-23,Knowledge assistant,1
user03@sample.invalid,2026-07-24,Meeting summarizer,1
user03@sample.invalid,2026-07-27,Knowledge assistant,1
user03@sample.invalid,2026-07-28,Data explainer,1
user03@sample.invalid,2026-07-29,Drafting assistant,1
user03@sample.invalid,2026-07-30,Drafting assistant,1
user03@sample.invalid,2026-07-31,Meeting summarizer,1
user03@sample.invalid,2026-08-03,CRM assistant,1
user03@sample.invalid,2026-08-04,Data explainer,2
user03@sample.invalid,2026-08-05,Data explainer,1
user03@sample.invalid,2026-08-06,Meeting summarizer,1
user03@sample.invalid,2026-08-07,Data explainer,1
