account,full_name,title,function_guess,band_guess,linkedin_url,location,source,search_query,excluded_reason,li_active,li_last_post,clay_profile_id,start_date
Elevance Health,Mark K.,EVP & Chief Financial Officer,,EVP,,"Indianapolis, Indiana, United States",Sep 11 search,Q1 | Elevance Health,non_us_location,,,567569874,2023-09
Elevance Health,Gail Boudreaux,President and CEO,,C,,"United States, United States",Sep 11 search,Q1 | Elevance Health,ceo_out_of_scope,,,168507449,2017
Elevance Health,Ashok Chennuru,"Chief Data & Digital AI Transformation Officer, Elevance Health/Carelon",,C,,"Cincinnati, Ohio, United States",Sep 11 search,Q1 | Elevance Health,title_excluded_gate_it_engineering,,,632494286,2024-06
Elevance Health,"Shantanu Agrawal, MD, MPhil",Chief Health Officer,,C,,"Washington DC-Baltimore Area, United States",Sep 11 search,Q1 | Elevance Health,title_excluded_gate_clinical,,,785708293,2021-01
Elevance Health,"Guy Stuller, BA, MBA",Staff Vice President of Quality Management Program Oversight,,VP,,"Greater Milwaukee, United States",Sep 11 search,Q1 | Elevance Health,no_back_office_function_in_title,,,504167664,2026-02
Elevance Health,"Jerome Pickett M.B.A., M.A.","VP, Chief Security & Real Estate Officer",,C,,"Greater Chicago Area, United States",Sep 11 search,Q1 | Elevance Health,title_excluded_gate_it_engineering,,,775431225,2026-03
Elevance Health,Geeta Wilson,Chief Technology Officer (CTO): Digital Health and Service Experience Platforms,,C,,"Dayton, Ohio, United States",Sep 11 search,Q1 | Elevance Health,title_excluded_gate_it_engineering,,,158788579,2020-09
Elevance Health,Matt Cordell,Senior Managing Associate General Counsel / Staff Vice President,,VP,,"North Carolina, United States",Sep 11 search,Q1 | Elevance Health,title_excluded_gate_individual_contributor,,,678525279,2025-02
Elevance Health,Annie Messmer-Kurdziel,"Vice President, Chief Product Officer, Government Health Benefits",,VP,,"Greater Chicago Area, United States",Sep 11 search,Q1 | Elevance Health,title_excluded_gate_legal,,,5081709,2026-03
Elevance Health,John Crowley,President and Chief Operating Officer,Operations,C,,"Charleston County, South Carolina, United States",Sep 11 search,Q1 | Healthy Blue NC,"trimmed on review: plan-level COO; state plan lens, add if Alex wants it",,,608256045,2019-05
Elevance Health,David Pryor,"Chief Medical Officer, Anthem Blue Cross of CA Commercial Health Benefits",,C,,"Ventura County, California, United States",Sep 11 search,Q1 | Elevance Health,title_excluded_gate_hr,,,280558974,2024-08
Elevance Health,Abby Merchant,"Chief Client Officer, Anthem National Accounts",,C,,"Indianapolis, Indiana, United States",Sep 11 search,Q1 | Elevance Health,non_us_location,,,633089682,2023-09
Elevance Health,Joe Nalley,Staff Vice President,,VP,,"Louisville, Kentucky, United States",Sep 11 search,Q1 | Elevance Health,no_back_office_function_in_title,,,810878234,2025-04
