account,full_name,title,domain,where
Carelon,Mark Kaye,Executive Vice President & Chief Financial Officer (oversees Carelon),carelon.com,map
Carelon,Will Feest,"President, Carelon Insights and Chief Operating Officer, Carelon",carelon.com,map
Carelon,"Maureen Tarpinian, MBA",Chief Operating Officer,carelon.com,map
Carelon,Jacquelyn Stupakevich,Senior Vice President of Integrated Operations,carelon.com,map
Carelon,Alicia DeSieno,Director of Business Systems Architecture,carelon.com,map
Carelon,Dee Durant,Director Quality Operations,carelon.com,map
Carelon,"Kenny Mai, MBA",Director Operations Services,carelon.com,map
Carelon,Lisa Laplante,VP Claims,carelon.com,map
Carelon,Terry Billyard,"Assistant Vice President, Claims Operations Support",carelon.com,map
Carelon,Christina Rosa,Claims Director,carelon.com,map
Carelon,Heather Gerard,Claims Director,carelon.com,map
Carelon,Anthony Holston,"Staff VP, Grievances and Appeals",carelon.com,map
Carelon,Lourdes Basmajian,"Director, Grievance & Appeals",carelon.com,map
Carelon,Cliff Houde,Staff VP - Operations,carelon.com,map
Carelon,Sarah Albertini-Bond,Director of Operations,carelon.com,map
Carelon,"Thomas E. Allen, MBA","Director, Workforce Management - Service Operations",carelon.com,map
Carelon,Kim Tommasone,"Staff VP, Implementations",carelon.com,map
Carelon,Mohammed S.,Director Business Systems and Implementations,carelon.com,map
Carelon,Matt Monyhan,"Staff VP, Operations PI Solutions",carelon.com,map
Carelon,Andrea K. Knight,"Director, Client Execution, Carelon Payment Integrity",carelon.com,map
Carelon,John Kearney,"Director, Special Investigations Unit and Payment Integrity",carelon.com,map
Carelon,Mary Middleton Deadwiler,"Mary Deadwiler Director, Carelon Payment Integrity",carelon.com,map
Carelon,Ryan Wilkie,Vice President Operations,carelon.com,map
Carelon,Sandra T.,"Staff Vice President, PBM Operations",carelon.com,map
Carelon,Alyssa B.,Director of Workforce Management,carelon.com,map
Carelon,Bruce Shiralipour,Director of Service Operations,carelon.com,map
Carelon,Rejinath Radhakrishnan,Director of Operations,carelon.com,map
Carelon,Tom Holiday,Director of Operations,carelon.com,map
Carelon,Selvi A.,Staff Vice President International Operations,carelon.com,map
