account,full_name,title,domain,where
Centene,Colleen Askvig,Chief Operating Officer,centene.com,map
Centene,Christopher Salvatore,"Vice President, Workforce Management",centene.com,map
Centene,Deanna Neal,"Director, Workforce Management",centene.com,map
Centene,"Jim O'Halloran, MBA","Director, National Provider Workforce Management",centene.com,map
Centene,Daniel R.,Vice President II-Strategic Business Operations,centene.com,map
Centene,Elliot Wachter,"VP, Utilization Management Operations",centene.com,map
Centene,Lyndsy Blonquist,Senior Director Operational Excellence Clinical Operations,centene.com,map
Centene,Linda Gallina,"Vice President, HR Operational Excellence",centene.com,map
Centene,Suresh Nagarajan,"Vice President Operations, Provider Data Managemt, Provider Credentialing and Claims Configuration",centene.com,map
Centene,Curtis Elwood,Plan Chief Operating Officer,centene.com,map
Centene,Beth P.,Vice President Clinical Operations Oversight,centene.com,map
Centene,Eric Wilson,Vice President Operations - Utilization Management (UM) Health Support Ops,centene.com,map
Centene,Jodi Comunale,"Vice President,Transformation Operations",centene.com,map
Centene,Joe King,Vice President Claims Operations,centene.com,map
Centene,"Beverlon Hodge, SPHR, CEBS","Director, Claims Operations",centene.com,map
Centene,Dan Clark,Chief Operating Officer - Medicare,centene.com,map
Centene,Brandi Bond,"Vice President, Encounter Business Operations",centene.com,map
Centene,"Amy Rocha, PMP, LSSGB","Director, Business Operations",centene.com,map
Centene,Steele Huss MBA,"Senior Director, Business Operations (Provider Data, Configuration & Implementation)",centene.com,map
Centene,Susan White-Voight,"Director, New Business Operations Implementation",centene.com,map
Centene,"Walker, Donna",Director of Business Operations/Vendor Management,centene.com,map
Centene,Lisa Cattani,"Vice President, Claims Operations",centene.com,map
Centene,Aleksandra Phelps,"Senior Director, Operations Finance",centene.com,map
Centene,Mary Beth Maginn,"Vice President, Enterprise Utilization Management Operations",centene.com,map
Centene,Susan Smith,Chief Operating Officer,centene.com,map
Centene,Candice McGee,"Vice President, Business Operations ICS",centene.com,map
Centene,Michael B.,VP Individual Enrollment and Billing Operations,centene.com,map
Centene,Brian Horne,"Director, Payment Integrity",centene.com,map
Centene,Tarsha Fletcher,"Vice President, Claims Operations",centene.com,map
Centene,"Candice Kwiatkowski, CPHQ","Senior Director, Quality Program Operations and Accreditation",centene.com,map
Centene,"Adam Ceteznik, A.S.A., M.A.A.A., M.Ed.",Chief Financial Officer at Coordinated Care,centene.com,bench
Centene,Andre Cisne,"Chief Financial Officer, Silver Summit Healthplan",centene.com,bench
