account,full_name,title,domain,where
Centene,Nick Luoma,Head of Operations Enablement,centene.com,exec pass
Centene,Alicia Baker,"Vice President, Operations",centene.com,exec pass
Centene,Amy Falk,Vice President Configuration Operations,centene.com,exec pass
Centene,Angel Johnson,Vice President of Quality & Process Improvement,centene.com,exec pass
Centene,Angie Hanford-Milhous,"Vice President, Operations",centene.com,exec pass
Centene,Ben Moran,Vice President Operations,centene.com,exec pass
Centene,"Binu Jain (M.S., MBA, PMP)","Vice President, Operations - Sunshine Health",centene.com,exec pass
Centene,Brian Ferguson,"Vice President, Operations",centene.com,exec pass
Centene,Brian Webber,Vice President Operations,centene.com,exec pass
Centene,Cal Williams MBA,Vice President Operations - Complex Care Medicaid Programs,centene.com,exec pass
Centene,Carmin Pruitt,Vice President Medical Affairs Operations,centene.com,exec pass
Centene,Cheryl Cizler,"VP Operations, Performance Monitoring",centene.com,exec pass
Centene,"Cindy Keen, MBA, PMP",Vice President of Operations,centene.com,exec pass
Centene,Corey J. T.,"Vice President Health Plan Operations, Carolina Complete Health",centene.com,exec pass
Centene,Cory Levine,"Staff Vice President, Digital Operations",centene.com,exec pass
Centene,Cyrus Hoseini,Vice President Operations,centene.com,exec pass
Centene,"Daisy Sinha, MBA, MHSA, PMP",Vice President of Operations,centene.com,exec pass
Centene,Darrell Heacox,Vice President Operations,centene.com,exec pass
Centene,Denny Henson,Vice President Operations,centene.com,exec pass
Centene,Dr. Tanea Young,Vice President Quality and Process Improvement,centene.com,exec pass
Centene,Felicia S. Thomas,"Vice President of Operations, Children Medical Services (CMS)",centene.com,exec pass
Centene,Jackie Shearer-Adams,Vice President of Operations,centene.com,exec pass
Centene,Jason Bollent,Vice President Operations,centene.com,exec pass
Centene,Jean-Lucien 'JL' Rudaz,Vice President Quality & Process Improvement,centene.com,exec pass
Centene,Jennifer Drexinger,Vice President Operations,centene.com,exec pass
Centene,Jennifer Haley,Vice President Operations,centene.com,exec pass
Centene,Jill Sax,"Vice President, Operations Ambetter Health",centene.com,exec pass
Centene,Joel Davis,VP Flight Operations,centene.com,exec pass
Centene,Justin Hedrick,"Vice President, Operations and System Integration",centene.com,exec pass
Centene,Justin Lazier,"Staff Vice President, Product Operations",centene.com,exec pass
Centene,Katy Makram,"Staff Vice President, Operations",centene.com,exec pass
Centene,Kirsty Bloom,"Vice President, Operations",centene.com,exec pass
Centene,Lauren Westerberg,Vice President Strategic Business Operations,centene.com,exec pass
Centene,Laurin Dixon,"Vice President, Operational Excellence",centene.com,exec pass
Centene,Lindsey Hanson,Vice President Medicaid Market Operations & Performance,centene.com,exec pass
Centene,Luke Lovgren,"Vice President, CHO Business Operations",centene.com,exec pass
Centene,Maria Ray,Vice President Business Operations,centene.com,exec pass
Centene,Nicole Wobbe,Vice President Operations,centene.com,exec pass
Centene,Peter P.,Vice President Operations,centene.com,exec pass
Centene,"Rebecca Anderson, M.A.",Vice President Operations Issue Resolution & Service Quality,centene.com,exec pass
Fidelity Investments,Marie Shelley,Head of Shared Services,fidelity.com,exec pass
Fidelity Investments,Ryan Shuman,Head of Shared Services for WI Client and Participant Servicing,fidelity.com,exec pass
Fidelity Investments,Sharath Nitturi,Head of Brokerage Operations Digitization,fidelity.com,exec pass
Fidelity Investments,Wade Smith,Head of Defined Contribution Client Service & Operations,fidelity.com,exec pass
Fidelity Investments,Byron Housten,"Vice President, Head of Investment Operations",fidelity.com,exec pass
Fidelity Investments,DANIEL KATZ,Head of Fixed Income Operations,fidelity.com,exec pass
Fidelity Investments,Dana Fallon,Head of Operations,fidelity.com,exec pass
Fidelity Investments,"David Calvani, CFA",Head of Financial Crimes Operations,fidelity.com,exec pass
Fidelity Investments,Erica Bacon,Head of Planning and Operations,fidelity.com,exec pass
Fidelity Investments,Joe Miceli,Head of Manager Services and Operations,fidelity.com,exec pass
Fidelity Investments,John Trendel,Head of Operational Controls & Process Optimization,fidelity.com,exec pass
Fidelity Investments,Lindsey Miller,"VP, Head of Design Operations, UXD",fidelity.com,exec pass
Fidelity Investments,Lisa Conner,Head of Data Operations,fidelity.com,exec pass
Fidelity Investments,Lisa Goulemas,"Head of Fund Administration, Fidelity Fund and Investment Operations",fidelity.com,exec pass
Fidelity Investments,Mic D'Avanzo,Head of Equity Operations,fidelity.com,exec pass
Fidelity Investments,Rick Synrod,"Head of Business and Data Operations, Fidelity Asset Management",fidelity.com,exec pass
Fidelity Investments,Scot Herrmann,Head of Operations Controls,fidelity.com,exec pass
Fidelity Investments,Stephanie Caron,Head of Fidelity Fund and Investment Operations,fidelity.com,exec pass
Fidelity Investments,Tim Svitkovich,"Head of Performance Solutions and Readiness, Fidelity Stock Plan Services Operations",fidelity.com,exec pass
Fidelity Investments,Jason Elliott,"Vice President, Implementation and Operations",fidelity.com,exec pass
Fidelity Investments,Kevin Abreu,Vice President Fund Operations,fidelity.com,exec pass
Fidelity Investments,Lynne Driscoll,Vice President - Tax Operations,fidelity.com,exec pass
Fidelity Investments,Michael Stuart,Vice President - Brokerage Operations,fidelity.com,exec pass
Fidelity Investments,Michele Dunning,Vice President of Tax Operations,fidelity.com,exec pass
Fidelity Investments,"Minal Ajmera, MBA, MS MIS","Vice President, Chapter Leader, DC Record-Keeping Shared Services",fidelity.com,exec pass
Fidelity Investments,Nathan Provencher,Vice President - Business Analysis & Client Service Operations,fidelity.com,exec pass
Fidelity Investments,Rachel S.,"Vice President, International and FOREX Operations",fidelity.com,exec pass
Fidelity Investments,Rocco Lombardi,Vice President - Shared Services,fidelity.com,exec pass
Fidelity Investments,Ryan Hanley,"Vice President, DB Client Service Operations",fidelity.com,exec pass
Fidelity Investments,Scott Goldthwaite,VP Vendor Management & Operations,fidelity.com,exec pass
