clay_profile_id,full_name,title,company_name,location,start_date,query_tag
558475257,Mirko Bibic,"Président et chef de la direction, BCE Inc. et Bell Canada",Bell,"Montreal, Quebec, Canada",2020-01,Q1
432800949,Neel Mehta,President,BCE Global Tech,"Greater Toronto Area, Canada, Canada",2024-05,Q1
633661023,Sean Cohan,President,Bell Media,"Canada, Canada",2023-11,Q1
334521250,Nikki Moffat,CHRO & EVP Corporate Services,Bell,"Toronto, Ontario, Canada",2022-01,Q1
422491620,Guillaume Bazinet,Chief Executive Officer,"Ateko, backed by Bell Canada","Montreal, Quebec, Canada",2025-05,Q1
803131484,Mark McDonald,EVP Networks and CTO,Bell,"Mississauga, Ontario, Canada",2025-05,Q1
760913777,Maude Boivin,Senior Vice-President Consulting Services,"Ateko, backed by Bell Canada","Saint-Eustache, Quebec, Canada",2025-09,Q1
551193026,Renato Discenza,Senior Vice President,BCE,"Greater Toronto Area, Canada",,Q1
354134798,Curtis Millen,Chief Financial Officer of BCE Inc. and Bell Canada,Bell,"Montreal, Quebec, Canada",2023-09,Q1
354321294,Dan R.,"President, Bell Ai Fabric",Bell,"Kamloops, British Columbia, Canada",2025-04,Q1
489985071,Jean-Philippe Paradis,"Senior Vice-President, Sales and Wholesale Services, Bell Business Markets",Bell,"Westmount, Quebec, Canada",2025-01,Q1
476946051,Pietro Greco,CTO,"Ateko, backed by Bell Canada","Montreal, Quebec, Canada",2025-06,Q1
161521694,Andy Wright,"Senior Vice President, Leader of Bell Mobility",Bell,"Etobicoke, Ontario, Canada",2024-10,Q1
585987309,"Neil Parmenter, ICD.D","Senior Vice President, Corporate Communications",Bell,"Toronto, Ontario, Canada",2024-11,Q1
337136521,Jaethan Reichel,COO - Bell AI Fabric,Bell,"Calgary, Alberta, Canada",2025-07,Q1
192461565,Kelsey McEwen,"Chief Meteorologist, Co-Host of CTV Your Morning",Bell Media,"Toronto, Ontario, Canada",2016-06,Q1
675101154,Krishna Somers,"Senior Vice President, Investor Relations",Bell,"Canada, Canada",2025-07,Q1
