clay_profile_id,full_name,title,company_name,location,start_date,query_tag
816732073,Dan Clark,Chief Operating Officer - Medicare,Centene Corporation,"Los Angeles Metropolitan Area, United States",2024-09,Q1
296838614,Susan Smith,Chief Operating Officer,Centene Corporation,United States,2024-01,Q1
687089371,Maurio Smith,"Chief Operating Officer, Centene Medicaid",Centene Corporation,"Odessa, Florida, United States",2026-03,Q1
532382086,Rayshawn Clay,Chief Operating Officer Health Plan,Centene Corporation,"Atlanta Metropolitan Area, United States",2024-10,Q1
705841572,William Kruegel,Chief Operating Officer - Sunshine Health,Centene Corporation,"Miami-Fort Lauderdale Area, United States",2020-11,Q1
232216726,Michael Grover,Chief Operating Officer - Centene Dental and Vision,Centene Corporation,"Raleigh, North Carolina, United States",2016-03,Q1
481503768,Marianna Spanos,"Executive in Residence & COO, Ambetter Health Solutions",Centene Corporation,"New York, New York, United States",2026-05,Q1
387949324,Felicia S. Thomas,"Vice President of Operations, Children Medical Services (CMS)",Centene Corporation,"Tampa, Florida, United States",2021-07,Q1
594255941,Jeremy Peercy,"CFO, Health Plan",Centene Corporation,"Louisville Metropolitan Area, United States",2025-12,Q1
739475568,Shayne Estrada,IT CFO,Centene Corporation,"Columbia, South Carolina Metropolitan Area, United States",2024-04,Q1
213178632,Sherilyn (Spiller) Fahlstrom,"Chief Operating Officer, Sunflower Health Plan",Centene Corporation,"Leawood, Kansas, United States",2023-02,Q1
292282210,"Adam Ceteznik, A.S.A., M.A.A.A., M.Ed.",Chief Financial Officer at Coordinated Care,Centene Corporation,"Issaquah, Washington, United States",2020-02,Q1
571391951,"Cindy Keen, MBA, PMP",Vice President of Operations,Centene Corporation,"St Louis, Missouri, United States",2025-01,Q1
401545205,Glenn Roberts,"VP, Health Plan CFO",Centene Corporation,"Honolulu County, Hawaii, United States",2021-02,Q1
911579775,"Jonathan Sokeye, CPA/MBA",Health Plan CFO,Centene Corporation,"Charlotte Metro, United States",2019,Q1
446849686,Christian E. Miller,Chief Financial Officer (North Carolina - Carolina Complete Health),Centene Corporation,Charlotte Metro,2026-03,Q1
173815034,Andre Cisne,"Chief Financial Officer, Silver Summit Healthplan",Centene Corporation,"Las Vegas, Nevada, United States",2020-01,Q1
528639200,Michael Schindler,"Chief Financial Officer, Medicare",Centene Corporation,"Kansas City Metropolitan Area, United States",2022-11,Q1
456122410,"Andrew Fannon, FSA, MAAA","Vice President, Medicare Duals CFO",Centene Corporation,"Greater St. Louis, United States",2025-12,Q1
477501275,Terry Weathers,Chief Financial Officer,"Sunflower Health Plan, Centene","Shawnee, Kansas, United States",2012,Q1
240730788,Trista Loops,Health Plan CFO,Centene Corporation,"Tempe, Arizona, United States",2020-01,Q1
389384245,"Daisy Sinha, MBA, MHSA, PMP",Vice President of Operations,Centene Corporation,"Columbus, Ohio Metropolitan Area, United States",2019-12,Q1
225063782,"Margaret Allen, FSA, MAAA","Vice President Finance, Medicare VBC CFO",Centene Corporation,"San Francisco Bay Area, United States",2025-04,Q1
673220862,Chris Perry,Plan Chief Financial Officer,Centene Corporation,"North Little Rock, Arkansas, United States",2020-02,Q1
542542725,Colleen Askvig,Chief Operating Officer,Centene Corporation,"Greater Minneapolis-St. Paul Area, United States",2025-08,Q1
913096699,Jimmy C.,Chief Operating Officer at Coordinated Care,Centene Corporation,"Greater Seattle Area, United States",2021-07,Q1
432911432,"Jerry Flannery, CPA","VP, Finance and CFO - Delaware First Health",Centene Corporation,"Frederick, Maryland, United States",2024-01,Q1
173682547,Ryan Litteken,Meridian IL Health Plan CFO,Centene Corporation,"Troy, Illinois, United States",2022-06,Q1
614876204,Curtis Elwood,Plan Chief Operating Officer,Centene Corporation,"Bedford, New Hampshire, United States",2025-07,Q1
799996728,Kia Biller,Plan CFO,Centene Corporation,"Austin, Texas, United States",2021-05,Q1
606420768,"Lauren Niebruegge, CPA","Regional Vice President, Marketplace CFO",Centene Corporation,"St Louis, Missouri, United States",2023-04,Q1
547228554,Jackie Shearer-Adams,Vice President of Operations,Centene Corporation,"St Louis, Missouri, United States",2001-05,Q1
392792261,"Jonathan Morello, MBA, MSN, RN, CCM","Vice President, Population Health & Clinical Operations",Centene Corporation,"Greater Boston, United States",2020-06,Q2
731005666,Cyrus Hoseini,Vice President Operations,Centene Corporation,"El Dorado Hills, California, United States",2025-11,Q2
896878862,Elliot Wachter,"VP, Utilization Management Operations",Centene Corporation,"Shakopee, Minnesota, United States",2025-09,Q2
986786178,Elliot Wachter,"VP, Utilization Management Operations",Centene Corporation,"Shakopee, Minnesota, United States",2025-09,Q2
729328210,Ajoy Kodali,"SVP and CIO, Markets & Health Products (Medicaid, Marketplace, Medicare and Shared Services)",Centene Corporation,"Dallas-Fort Worth Metroplex, United States",2023-09,Q2
783103735,"Barsam Kasravi, MD, MBA, MPH",SVP and Chief Clinical Operations Officer,Centene Corporation,United States,2025-07,Q2
590449688,Peter P.,Vice President Operations,Centene Corporation,"St James, New York, United States",2026-07,Q2
107409264,Rebecca Nicholas,"VP, End User Services and IT Operations",Centene Corporation,"San Jose, California, United States",2020-08,Q2
166063200,Daniel R.,Vice President II-Strategic Business Operations,Centene Corporation,"Nashville, Tennessee, United States",2025-10,Q2
801322740,Natasha VanWright RN MBA MS MA CCM,Vice President Population Health and Clinical Operations (Duals),Centene Corporation,"New York City Metropolitan Area, United States",2026-01,Q2
800007258,Charles Garzoni,Deputy CISO and Vice President of Cyber Defense Operations,Centene Corporation,"Washington DC-Baltimore Area, United States",2026-02,Q2
65040017,Justin Hedrick,"Vice President, Operations and System Integration",Centene Corporation,"Charlotte, North Carolina, United States",2026-02,Q2
806476089,Corey J. T.,"Vice President Health Plan Operations, Carolina Complete Health",Centene Corporation,"Charlotte, North Carolina, United States",2023-03,Q2
566336483,Luke Lovgren,"Vice President, CHO Business Operations",Centene Corporation,"Clearwater, Florida, United States",2022-01,Q2
734674752,Gloria Romeo,CIO - Shared Services,Centene Corporation,"Baltimore, Maryland, United States",2024-09,Q2
234240061,"Michael Adcock, FACHE","Vice President, Population Health Management and Clinical Operations",Magnolia Health Plan (a wholly owned subsidiary of Centene Corporation),"Greater Jackson Area, United States",2020-02,Q2
251322330,Jonathan Gallop,"Vice President, System Operations",Centene Corporation,"United States, United States",2021-12,Q2
186774,"Kari Hadley Gilson, MPH, CPHQ","Vice President, Quality & Risk Adjustment Process Improvement",Centene Corporation,Spokane-Coeur d'Alene Area,2022-07,Q2
143749998,Candice McGee,"Vice President, Business Operations ICS",Centene Corporation,"Lees Summit, Missouri, United States",2024-08,Q2
434636244,Suresh Nagarajan,"Vice President Operations, Provider Data Managemt, Provider Credentialing and Claims Configuration",Centene Corporation,"Greater St. Louis, United States",2021-10,Q2
530855585,Jason Bollent,Vice President Operations,Centene Corporation,"Wesley Chapel, Florida, United States",2021-10,Q2
553230166,Marshall Ellis,"Vice President, Market Strategy & Operations (Fidelis Care - New York)",Centene Corporation,"Brooklyn, New York, United States",2025-06,Q2
294261886,Dr. Tanea Young,Vice President Quality and Process Improvement,Centene Corporation,Dallas-Fort Worth Metroplex,2022-03,Q2
421373834,Randy Smith,"RVP, Medicare Markets & Operations",Centene Corporation,"Greater Tampa Bay Area, United States",2020-01,Q2
222990809,"Binu Jain (M.S., MBA, PMP)","Vice President, Operations - Sunshine Health",Centene Corporation,"Export, Pennsylvania, United States",2023-02,Q2
28599772,Bob Champagne,Vice President - Pharmacy Benefit & Network Operations,Centene Corporation,"Greater Tampa Bay Area, United States",2022-08,Q2
752455313,Cory Lewis,"Vice President, Operational Excellence and Strategy",Centene Corporation,"St Louis, Missouri, United States",2025-01,Q2
752165092,"Velisiwe Nkomo DrPH, RN, BSN, MBA",Vice President - Population Health Clinical Operations Utilization Management Strategy,Centene Corporation,Dallas-Fort Worth Metroplex,2024-09,Q2
438654085,Jodi Comunale,"Vice President,Transformation Operations",Centene Corporation,"Arlington, Virginia, United States",2026-06,Q2
24985684,"Anita Pothen Skaria, PharmD","Vice President, Pharmacy Quality and Process Improvement",Centene Corporation,"Miami-Fort Lauderdale Area, United States",2024-05,Q2
591712058,Lauren Westerberg,Vice President Strategic Business Operations,Centene Corporation,"Tampa, Florida, United States",2025-04,Q2
36949287,Laurin Dixon,"Vice President, Operational Excellence",Centene Corporation,"United States, United States",2024-04,Q2
722326127,Valkyrie Nordman,Vice President Operations,Centene Corporation,"Chesterfield, Missouri, United States",2024-10,Q2
445800563,Jyl Hildreth Applegate,"RVP, IT Shared Services",Centene Corporation,"Louisville, Kentucky, United States",2024-07,Q2
767295675,Brian Webber,Vice President Operations,Centene Corporation,"McKinney, Texas, United States",2019-06,Q2
323307471,William Romero,Vice President Specialty Pharmacy Service Operations,Centene Corporation,"Clarksville, Tennessee, United States",2024-06,Q2
726063846,Ben Moran,Vice President Operations,Centene Corporation,"Franklin, Tennessee, United States",2023-06,Q2
387949324,Felicia S. Thomas,"Vice President of Operations, Children Medical Services (CMS)",Centene Corporation,"Tampa, Florida, United States",2021-07,Q2
46107043,"Karen Puehler, RN",Vice President Population Health and Clinical Operations,Centene Corporation,"Greater Phoenix Area, United States",2017-05,Q2
240808732,Tara Price,"VP, Operational Excellence",Centene Corporation,"New Port Richey, Florida, United States",2022-03,Q2
186007242,Marc Pitt,"VP, Analytics - Business Operations",Centene Corporation,"St Louis, Missouri, United States",2021-05,Q2
768709539,"Nicole Siener Lowman, MBA","VP, Member Management",Centene Corporation,"Greater St. Louis, United States",2025-09,Q2
716887664,"Estrella (Strell) A. Ramirez, RN","Vice President, Utilization Management",Centene Corporation,"Long Beach, California, United States",2025-08,Q2
476953885,Lisa Cattani,"Vice President, Claims Operations",Centene Corporation,"Miami-Fort Lauderdale Area, United States",2024-10,Q2
765779643,Ryan R. Nimtz,Vice President Pharmacy Operations,Centene Corporation,"St. Petersburg, Florida, United States",2022-02,Q2
281768299,Mary Beth Maginn,"Vice President, Enterprise Utilization Management Operations",Centene Corporation,"New York City Metropolitan Area, United States",2026-05,Q2
334833509,Brenda Belmudez,Vice President Population Health & Clinical Operations,Centene Corporation,"Parker, Colorado, United States",2024-04,Q2
552629693,Mansi Patel,"Regional Vice President, Population Health & Clinical Operations Business Performance Excellence",Centene Corporation,"New York, New York, United States",2024-07,Q2
158987498,"Ron Austin, MHA, BS, RN","Senior Vice President, Population Health & Clinical Operations / Meridian Health Plan of Illinois",Centene Corporation,"Greater Chicago Area, United States",2024-09,Q2
571391951,"Cindy Keen, MBA, PMP",Vice President of Operations,Centene Corporation,"St Louis, Missouri, United States",2025-01,Q2
574341194,Denny Henson,Vice President Operations,Centene Corporation,"St Louis, Missouri, United States",2025-08,Q2
556667384,Tarsha Fletcher,"Vice President, Claims Operations",Centene Corporation,"Durham, North Carolina, United States",2023-04,Q2
13613078,Brian Ferguson,"Vice President, Operations",Centene Corporation,"West Hartford, Connecticut, United States",2024-09,Q2
374576338,Jean-Lucien 'JL' Rudaz,Vice President Quality & Process Improvement,Centene Corporation,"Excelsior, Minnesota, United States",2023-10,Q2
59474958,Justin Fowler,Vice President Population Health and Clinical Operations - Coordinated Care,Centene Corporation,"Seattle, Washington, United States",2024-06,Q2
749309152,Angel Johnson,Vice President of Quality & Process Improvement,Centene Corporation,"Little Rock Metropolitan Area, United States",2018-10,Q2
136309989,Michelle Fitzpatrick,"Vice President, Regulatory Operations Ambetter",Centene Corporation,"Orland Park, Illinois, United States",2025-08,Q2
385384839,Cathie Krueger,VP of Utilization Management,Centene Corporation,"St Louis, Missouri, United States",2019-09,Q2
267690918,Kristine (Krissy) Ziegler,"Vice President, Clinical Operations",Centene Corporation,"St Louis, Missouri, United States",2019-05,Q2
593763824,Scott Hartley,VP Operations - Strategic Initiatives,Centene Corporation,"Roswell, Georgia, United States",2024-11,Q2
297246085,Erin McLawhorn,Head of Network Operations,Centene Corporation,"St. Petersburg, Florida, United States",2025-09,Q2
76117258,Sophie Lamisere,"Regional Vice President, Enterprise CM Strategy & Operations",Centene Corporation,"Miami-Fort Lauderdale Area, United States",2024-03,Q2
738339504,Barry Fielder,Vice President Pharmacy Operations,Centene Corporation,Little Rock Metropolitan Area,2021-05,Q2
270755194,Cynthia Gonzalez,"Staff Vice President, Population Health & Clinical Operations",Centene Corporation,"United States, United States",2023-01,Q2
763408336,Lindsey Hanson,Vice President Medicaid Market Operations & Performance,Centene Corporation,"Holly Springs, North Carolina, United States",2026-04,Q2
20875513,Timothy Davis,Vice President Encounters Business Operations,Centene Corporation,"St Louis, Missouri, United States",2023-12,Q2
783400956,Cory Levine,"Staff Vice President, Digital Operations",Centene Corporation,Washington DC-Baltimore Area,2023-08,Q2
88729358,Patrick Strahan,Vice President of Data Strategy and Operations,Centene Corporation,"Minneapolis, Minnesota, United States",2025-01,Q2
134348556,Kevin Nelson,"VP Enterprise Business Platforms, Corporate & Specialty Shared Services, M&A",Centene Corporation,"Greater St. Louis, United States",2022-09,Q2
944406310,"Marissa Crawhorn, MS, MBA, LCPC","Vice President, UM, Behavioral Health Strategy & Operations",Centene Corporation,"Willow Springs, Illinois, United States",2025-07,Q2
785896306,Mika Runyan,Vice President Payment Integrity,Centene Corporation,Waco Area,2025-11,Q2
611517682,Amy Falk,Vice President Configuration Operations,Centene Corporation,"Southbury, Connecticut, United States",2026-06,Q2
693968919,Kirsty Bloom,"Vice President, Operations",Centene Corporation,"Charlotte Metro, United States",2022-07,Q2
211994652,Cal Williams MBA,Vice President Operations - Complex Care Medicaid Programs,Centene Corporation,"DeSoto, Texas, United States",2013-12,Q2
369423974,Ronak Patel,"Vice President, Clinical Pharmacy Operations",Centene Corporation,"Tampa, Florida, United States",2021-11,Q2
231348582,"Rebecca Anderson, M.A.",Vice President Operations Issue Resolution & Service Quality,Centene Corporation,"St Louis, Missouri, United States",2025-10,Q2
